Security Code,Security Ticker,Security Name,Sector,Previous Closing Price,Open Price,High,Low,Closing Price,Volume,Value,No. of Trades,No. of Shares,Market Cap
623,HUMANSOFT,HUMANSOFT HOLDING CO.,INDUSTRIALS,"2,488.00","2,488.00","2,490.00","2,485.00","2,489.00","75,306","187,421.43",66,"134,123,331","333,832,970.86"
624,KPPC,PRIVATIZATION HOLDING CO.,FINANCIAL SERVICES,80.8,82,84.3,79.2,80.5,"20,044,439","1,629,271.19",732,"610,000,000","49,105,000.00"
627,ENERGYH,THE ENERGY HOUSE CO,ENERGY,254,255,256,250,254,"201,412","50,865.35",32,"45,332,930","11,514,564.22"
630,GFC,GULF FRANCHISING HOLDING CO.,FINANCIAL SERVICES,365,362,364,348,348,"2,706",979.642,5,"39,980,787","13,913,313.88"
631,TAHSSILAT,CREDIT RATING & COLLECTION,FINANCIAL SERVICES,143,146,146,139,140,"69,354","9,812.96",38,"165,000,000","23,100,000.00"
633,ABAR,BURGAN CO. FOR WELL DRILLING TRADHING & MAINT,ENERGY,200,196,200,194,199,"63,141","12,477.10",23,"252,522,698","50,252,016.90"
634,IFAHR,IFA HOTELS & RESORTS CO.,CONSUMER DISCRETIONARY,"1,064.00","1,065.00","1,110.00","1,060.00","1,109.00","1,311,891","1,418,539.36",389,"291,028,211","322,750,286.00"
635,CGC,COMBINED GROUP CONTRACTING CO.,INDUSTRIALS,"1,136.00","1,102.00","1,145.00","1,102.00","1,133.00","460,201","523,025.28",54,"171,054,893","193,805,193.77"
637,PAPCO,PALMS AGRO PRODUCTION CO.,CONSUMER DISCRETIONARY,246,250,250,243,245,"72,961","18,007.84",20,"52,315,800","12,817,371.00"
638,OSOS,OSOS HOLDING GROUP COMPANY,REAL ESTATE,195,193,198,193,198,"124,314","24,100.61",17,"109,200,000","21,621,600.00"
640,UPAC,UNITED PROJECTS CO.,INDUSTRIALS,249,240,249,232,248,"40,016","9,524.91",12,"377,675,693","93,663,571.86"
644,MASHAER,MASHAER HOLDING COMPANY (K.S.C.Public),REAL ESTATE,114,115,115,113,114,"660,440","74,931.34",35,"160,407,568","18,286,462.75"
645,OULAFUEL,OULA FUEL MARKETING CO.,CONSUMER DISCRETIONARY,294,294,297,291,291,"812,421","237,912.73",157,"445,024,928","129,502,254.05"
649,DIGITUS,HAYAT COMMUNICATIONS COMPANY,TELECOMMUNICATIONS,870,899,927,870,909,"88,730","80,244.11",75,"91,990,000","83,618,910.00"
650,MUBARRAD,MUBARRAD HOLDING COMPANY K.S.C.P,INDUSTRIALS,117,117,117,116,117,"65,741","7,664.00",6,"163,692,769","19,152,053.97"
651,MUNTAZAHAT,KUWAIT RESORTS COMPANY,CONSUMER DISCRETIONARY,130,130,130,130,130,1,0.13,1,"204,801,556","26,624,202.28"
652,ATC,ADVANCED TECHNOLOGY COMPANY,HEALTH CARE,599,571,590,542,590,"12,510","7,113.10",11,"177,571,855","104,767,394.45"
654,JAZEERA,JAZEERA AIRWAYS CO.,CONSUMER DISCRETIONARY,"1,735.00","1,735.00","1,738.00","1,733.00","1,735.00","377,484","655,172.22",77,"219,289,110","380,466,605.85"
655,SOOR,SOOR FUEL MARKETING COMPANY,CONSUMER DISCRETIONARY,278,275,278,274,278,"34,163","9,413.33",28,"420,775,507","116,975,590.95"
657,FUTUREKID,FUTURE KID ENTERTAINMENT & REAL ESTATE,CONSUMER DISCRETIONARY,121,122,125,121,124,"1,314,223","162,108.20",86,"113,833,050","14,115,298.20"
701,CATTL,LIVESTOCK TRANSPORT & TRADING COM.,CONSUMER STAPLES,108,108,109,108,109,"19,297","2,090.93",9,"209,213,192","22,804,237.93"
806,QIC,UMM AL QAIWAIN GENERAL INVESTMENTS COMPANY P.S.C,FINANCIAL SERVICES,137,137,138,136,136,"66,605","9,064.68",10,"363,000,000","49,368,000.00"
811,VALMORE,VALMORE HOLDING,FINANCIAL SERVICES,202,206,207,202,204,"140,436","28,665.91",25,"1,178,662,215","240,447,091.86"
812,BKIKWT,BAHRAIN KUWAIT INSURANCE CO. (B.S.C),INSURANCE,191,0,0,0,0,0,0,0,"147,670,493","28,205,064.16"
813,GFH,GFH FINANCIAL GROUP (B.S.C),FINANCIAL SERVICES,184,184,185,183,185,"15,206,453","2,802,220.51",314,"3,832,593,838","709,029,860.03"
817,INOVEST,INOVEST (B.S.C),FINANCIAL SERVICES,111,112,113,110,111,"3,811,807","425,686.56",174,"303,105,023","33,644,657.55"
821,WARBABANK,WARBA BANK,BANKS,301,301,301,299,300,"6,618,741","1,985,299.69",475,"4,498,216,000","1,349,464,800.00"
822,STC,KUWAIT TELECOMMUNICATIONS CO.,TELECOMMUNICATIONS,674,662,699,662,684,"871,969","594,910.57",201,"998,733,704","683,133,853.54"
823,MEZZAN,MEZZAN HOLDING CO,CONSUMER STAPLES,"1,580.00","1,619.00","1,619.00","1,380.00","1,460.00","625,482","926,366.40",490,"311,045,530","454,126,473.80"
824,INTEGRATED,INTEGRATED HOLDING COMPANY KCSC,INDUSTRIALS,475,478,478,470,472,"1,658,827","783,683.89",108,"252,999,845","119,415,926.84"
825,ALMANAR,AL-MANAR FINANCING AND LEASING CO KSCP,FINANCIAL SERVICES,119,120,120,116,119,"741,802","86,596.63",39,"253,932,633","30,217,983.33"
826,AZNOULA,SHAMAL AZ-ZOUR AL-OULA POWER AND WATER COMPANY K.S.C.P,UTILITIES,155,156,156,154,155,"555,514","86,051.32",84,"1,100,000,000","170,500,000.00"
827,BOURSA,BOURSA KUWAIT SECURITIES COMPANY (K.P.S.C.),FINANCIAL SERVICES,"3,735.00","3,736.00","3,748.00","3,690.00","3,710.00","158,735","590,235.08",213,"200,775,750","744,878,032.50"
829,JTC,JTC LOGISTICS TRANSPORTATION & STEVEDORING COMPANY K.S.C.P,INDUSTRIALS,455,445,454,443,454,"66,004","29,293.42",22,"150,000,000","68,100,000.00"
830,ALG,ALI ALGHANIM SONS AUTOMOTIVE COMPANY K.S.C,CONSUMER DISCRETIONARY,"1,142.00","1,143.00","1,146.00","1,138.00","1,143.00","886,106","1,011,856.13",191,"359,443,387","410,843,791.34"
831,BEYOUT,BEYOUT HOLDING COMPANY (K.P.S.C),FINANCIAL SERVICES,417,417,419,414,415,"746,840","310,091.31",52,"299,733,000","124,389,195.00"
2010,SPEC,SPECIALITIES GROUP HOLDING CO.,INDUSTRIALS,164,166,171,165,165,"650,658","108,240.11",53,"190,710,522","31,467,236.13"
2011,MASAKEN,AL MASAKEN INTERNATIONAL REAL ESTATE DEVELOPMENT. CO.,REAL ESTATE,55.4,0,0,0,0,0,0,0,"98,337,015","5,447,870.63"
2012,DALQANRE,DALQAN REAL ESTATE CO.,REAL ESTATE,176,178,178,174,177,"97,171","17,051.75",33,"66,180,954","11,714,028.86"
2013,ALEID,AL EID FOOD CO.,CONSUMER DISCRETIONARY,216,0,0,0,0,0,0,0,"312,415,092","67,481,659.87"
2014,MIDAN,AL-MAIDAN CLINIC FOR ORAL HEALTH SERVICES CO.,HEALTH CARE,797,0,0,0,0,0,0,0,"202,500,000","161,392,500.00"
2017,THURAYA,DAR AL THURAYA REAL ESTATE CO.,REAL ESTATE,185,194,194,184,193,"5,003",935.571,4,"146,500,000","28,274,500.00"
2019,AMAR,AMAR FOR FINANCE AND LEASING CO.,FINANCIAL SERVICES,103,101,104,101,104,"166,871","17,138.34",26,"195,231,520","20,304,078.08"
